2026-03-29 15:42:03 | INFO     | bot.client | Binance Futures Testnet client initialized
2026-03-29 15:42:03 | INFO     | bot.orders | Market order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-03-29 15:42:04 | ERROR    | bot.client | API Error: APIError(code=-2014): API-key format invalid.
2026-03-29 15:44:43 | INFO     | bot.client | Binance Futures Testnet client initialized
2026-03-29 15:44:43 | INFO     | bot.orders | Limit order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 0.001, 'price': 50000.0, 'timeInForce': 'GTC'}
2026-03-29 15:44:44 | ERROR    | bot.client | API Error: APIError(code=-2014): API-key format invalid.
2026-03-29 15:47:26 | INFO     | bot.client | Binance Futures Testnet client initialized
2026-03-29 15:47:26 | INFO     | bot.orders | Limit order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 0.001, 'price': 50000.0, 'timeInForce': 'GTC'}
2026-03-29 15:47:28 | ERROR    | bot.client | API Error: APIError(code=-2014): API-key format invalid.
2026-03-29 15:55:02 | INFO     | bot.client | Binance Futures Testnet client initialized
2026-03-29 15:55:02 | INFO     | bot.client | Account info retrieved
2026-03-29 15:55:04 | INFO     | bot.client | Binance Futures Testnet client initialized
2026-03-29 15:55:04 | INFO     | bot.orders | Market order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-03-29 15:55:06 | ERROR    | bot.client | API Error: APIError(code=-4164): Order's notional must be no smaller than 100 (unless you choose reduce only).
2026-03-29 15:56:00 | INFO     | bot.client | Binance Futures Testnet client initialized
2026-03-29 15:56:00 | INFO     | bot.orders | Market order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.002}
2026-03-29 15:56:01 | ERROR    | bot.client | API Error: APIError(code=-2019): Margin is insufficient.
2026-03-29 16:11:32 | INFO     | bot.client | Binance Futures Testnet client initialized
2026-03-29 16:11:32 | INFO     | bot.orders | Market order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-03-29 16:11:33 | ERROR    | bot.client | API Error: APIError(code=-4164): Order's notional must be no smaller than 100 (unless you choose reduce only).
2026-03-29 16:11:50 | INFO     | bot.client | Binance Futures Testnet client initialized
2026-03-29 16:11:51 | INFO     | bot.client | Account info retrieved
2026-03-29 16:42:55 | INFO     | bot.client | Binance Futures Testnet client initialized
2026-03-29 16:42:55 | INFO     | bot.orders | Market order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-03-29 16:42:56 | ERROR    | bot.client | API Error: APIError(code=-4164): Order's notional must be no smaller than 100 (unless you choose reduce only).
2026-03-29 16:42:58 | INFO     | bot.client | Binance Futures Testnet client initialized
2026-03-29 16:42:58 | INFO     | bot.orders | Limit order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'LIMIT', 'quantity': 0.001, 'price': 50000.0, 'timeInForce': 'GTC'}
2026-03-29 16:42:59 | ERROR    | bot.client | API Error: APIError(code=-4164): Order's notional must be no smaller than 100 (unless you choose reduce only).
2026-03-29 16:44:45 | INFO     | bot.client | Binance Futures Testnet client initialized
2026-03-29 16:44:45 | INFO     | bot.orders | Market order request: {'symbol': 'BTCUSDT', 'side': 'BUY', 'type': 'MARKET', 'quantity': 0.001}
2026-03-29 16:44:46 | ERROR    | bot.client | API Error: APIError(code=-4164): Order's notional must be no smaller than 100 (unless you choose reduce only).
2026-03-29 16:44:48 | INFO     | bot.client | Binance Futures Testnet client initialized
